ID,JAN,商品名,ASIN,ブランド,売れ筋ランキング,先月購入数,カテゴリー,セラー数,バリエーション,カート価格,新品現在価格,FBA最安値,仕入価格,粗利益,損益分岐(仕入上限),利益率,ROI,仕入判定,FBA手数料,紹介料率,重量・サイズ,危険物,Amazonリンク,Keepaリンク,sedori_poipoi,画像URL,Amazon本体有無,出品制限フラグ,下落回数(30日),納品送料概算,リサーチ日時,仕入済,発送方法,転送済フラグ,SKU,手配書フラグ,仕入個数
422f5c48,4902560042000,はごろも いわしで健康 しょうが煮(パウチ) 90g,B09SLVBQ1F,はごろも,,0,食品・飲料・お酒,1,無,480,480,,170,278,448,58%,164%,✖️ 見送り,222,6,160x25x11mm 116g,No,https://www.amazon.co.jp/dp/B09SLVBQ1F,https://keepa.com/#!product/5-B09SLVBQ1F,http://localhost:3000/?q=B09SLVBQ1F,https://m.media-amazon.com/images/I/61KGZCpQ2YL.jpg,無,,0,,2026/02/26 17:56:00,,自己発,,0_20260226_229_B09SLVBQ1F,,
03cd1d4a,4973918110672,創味食品 あえるハコネーゼ 発酵バター風味の濃厚たらこクリーム (45g×2)×15袋入,B0FW3T9GFM,創味食品,227448,4,食品・飲料・お酒,5,無,3280,3280,,198,3082,3280,94%,1557%,✖️ 見送り,,,,No,https://www.amazon.co.jp/dp/B0FW3T9GFM,https://keepa.com/#!product/5-B0FW3T9GFM,http://localhost:3000/?q=B0FW3T9GFM,https://m.media-amazon.com/images/I/51VEuhU+EBL.jpg,無,,4,,2026/02/26 17:52:00,,,,0_20260226_0_B0FW3T9GFM,,
ea870799,4973918110719,創味食品 あえるハコネーゼ 昔ながらの喫茶店風ナポリタンソース (62g×2)×15袋入,B0FW42CK43,創味食品,,0,食品・飲料・お酒,4,無,3280,3280,,198,3082,3280,94%,1557%,△ 要確認,,,,No,https://www.amazon.co.jp/dp/B0FW42CK43,https://keepa.com/#!product/5-B0FW42CK43,http://localhost:3000/?q=B0FW42CK43,https://m.media-amazon.com/images/I/61fMAUV6CML.jpg,無,,0,,2026/02/26 17:52:00,,,,0_20260226_0_B0FW42CK43,,
339f0f88,4901085621929,伊藤園 ワンポット ほうじ茶 (エコティーバッグ) 3.5g×50袋,B08XYBYDXK,ワンポット,1480,1000,食品・飲料・お酒,8,有,409,409,,,,-19,,,,399,7,234x123x57mm 210g,No,https://www.amazon.co.jp/dp/B08XYBYDXK,https://keepa.com/#!product/5-B08XYBYDXK,http://localhost:3000/?q=B08XYBYDXK,https://m.media-amazon.com/images/I/81czww1-kkL.jpg,有,,36,,2026/02/26 17:52:00,,,,0_20260226_0_B08XYBYDXK,,
891b7d5e,4901002045876,S&B パスタソース 生風味 ツナしょうゆ風味 2袋入 ×4セット,B01MXVYGDM,S&B(エスビー),,0,,,無,,,,,,,,,,,,,No,https://www.amazon.co.jp/dp/B01MXVYGDM,https://keepa.com/#!product/5-B01MXVYGDM,http://localhost:3000/?q=B01MXVYGDM,https://m.media-amazon.com/images/I/61O9Dg+p5kL.jpg,無,,0,,2026/02/26 17:52:00,,,,0_20260226_0_B01MXVYGDM,,
d8e8d8d9,4902170057647,オーマイ 和パスタ好きのための ガリバタ醤油 52.6g ×8個,B07P27DKWV,オーマイ,3338,30,食品・飲料・お酒,5,有,1584,1584,,,924,924,58%,0%,◎ 超即買い,485,10,256x206x87mm 510g,No,https://www.amazon.co.jp/dp/B07P27DKWV,https://keepa.com/#!product/5-B07P27DKWV,http://localhost:3000/?q=B07P27DKWV,https://m.media-amazon.com/images/I/81prQI-561L.jpg,有,,23,,2026/02/26 17:52:00,,,,0_20260226_940_B07P27DKWV,,
bfff0893,4902170256002,ニップン オーマイ 早ゆでサラダマカロニ 160g×16袋入×(2ケース),B0C68M4VQ8,Nippn,,0,食品・飲料・お酒,4,無,4197,4197,,,4197,4197,100%,0%,△ 要確認,,,160g,No,https://www.amazon.co.jp/dp/B0C68M4VQ8,https://keepa.com/#!product/5-B0C68M4VQ8,http://localhost:3000/?q=B0C68M4VQ8,https://m.media-amazon.com/images/I/51qPlmhJNeL.jpg,無,,0,,2026/02/26 17:52:00,,,,0_20260226_0_B0C68M4VQ8,,
65d8594b,4560255855474,ネクストレード さば醤油煮 150g ×24,B0F65YLZX9,ネクストレード,294390,0,食品・飲料・お酒,2,無,3136,3136,,,2277,2277,73%,0%,△ 要確認,514,10,300x230x105mm 3700g,No,https://www.amazon.co.jp/dp/B0F65YLZX9,https://keepa.com/#!product/5-B0F65YLZX9,http://localhost:3000/?q=B0F65YLZX9,https://m.media-amazon.com/images/I/51Q0WsAv5nL.jpg,有,,0,,2026/02/26 17:51:00,,,,0_20260226_2308_B0F65YLZX9,,
f81ac099,4901133146718,いなば食品 焼きとり 塩味 65g 1個,B01LXSY2RN,いなば,735469,10,食品・飲料・お酒,2,無,356,356,,,72,72,20%,0%,✖️ 見送り,252,8,75x74x29mm 100g,No,https://www.amazon.co.jp/dp/B01LXSY2RN,https://keepa.com/#!product/5-B01LXSY2RN,http://localhost:3000/?q=B01LXSY2RN,https://m.media-amazon.com/images/I/81yLBvOesUL.jpg,無,,0,,2026/02/26 17:51:00,,FBA,,0_20260226_75_B01LXSY2RN,,
e5c715b3,4972195025280,キョクヨー いわし蒲焼(タイ産) 90g×30個,B01HEFYEPA,キョクヨー,31309,30,食品・飲料・お酒,8,無,4380,4380,,,3480,3480,79%,0%,○ 仕入れ対象,514,8,319x220x89mm 3690g,No,https://www.amazon.co.jp/dp/B01HEFYEPA,https://keepa.com/#!product/5-B01HEFYEPA,http://localhost:3000/?q=B01HEFYEPA,https://m.media-amazon.com/images/I/61u2ueMw2SL.jpg,有,,15,,2026/02/26 17:51:00,,,,0_20260226_3515_B01HEFYEPA,,
